Rank,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
91,Cult of the Lamb,1604125080,53821440,157382,2919,98272,3051,102,29.8
92,Raft,1582908660,51818100,209125,900,119464,3011,98,30.55
93,NBA 2K23,1568927820,120429360,352152,7180,164131,2985,229,13.03
94,Vampire Survivors,1563922080,24901800,140383,340,77147,2975,47,62.8
95,Politics,1495600620,16465020,164056,190,22901,2845,31,90.84
96,MapleStory,1479966060,46357380,35358,344,20043,2815,88,31.93
97,The Quarry,1455060480,23892660,354599,1637,58257,2768,45,60.9
98,League of Legends: Wild Rift,1389986100,68287320,40295,285,168354,2644,129,20.35
99,Pokémon Community Game,1321376340,12076140,320431,106,7809,2514,22,109.42
100,The Elder Scrolls Online,1293581820,52967640,115757,300,52176,2461,100,24.42
