Rank,Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Channel name
64,GamesDoneQuick,1644324735,151815,114165,10831,1936496,96495,TRUE,FALSE,English,GamesDoneQuick
65,CohhCarnage,1639911450,183510,32846,8936,1460805,65180,TRUE,FALSE,English,CohhCarnage
66,Gorgc,1636117560,140205,93988,11669,623450,91907,TRUE,TRUE,English,Gorgc
67,JLTomy,1618432395,113565,63358,14251,1116403,221516,TRUE,FALSE,French,JLTomy
68,BLASTPremier,1609508010,34890,227568,46130,1423754,303429,TRUE,FALSE,English,BLASTPremier
69,MOONMOON,1601418090,124095,28361,12904,1134343,41566,TRUE,TRUE,English,MOONMOON
70,Castro_1021,1593958500,81765,150694,19494,3650044,372474,TRUE,FALSE,English,Castro_1021
71,moistcr1tikal,1537466265,117840,69435,13047,4661994,1307420,TRUE,FALSE,English,moistcr1tikal
72,PaulinhoLOKObr,1535634240,27840,149938,55159,1543295,1441923,TRUE,FALSE,Portuguese,PaulinhoLOKObr
73,CBLOL,1495957035,51765,173492,28899,1526083,142261,TRUE,FALSE,Portuguese,CBLOL
74,RebirthzTV,1441109205,113655,47600,12679,716304,222553,TRUE,FALSE,Thai,RebirthzTV
75,LCK,1438790460,38520,307586,37351,1508099,240107,TRUE,FALSE,English,LCK
76,LuquEt4,1390172310,100455,92525,13838,1008305,899720,TRUE,FALSE,Portuguese,LuquEt4
77,Nix,1369193010,68070,205614,20114,398542,233846,TRUE,TRUE,Russian,Nix
78,ZeratoR,1364877180,86265,269056,15821,1494990,176715,TRUE,FALSE,French,ZeratoR
79,PENTA,1354108335,161430,22669,8388,346653,57791,TRUE,TRUE,English,PENTA
80,DisguisedToast,1344352095,92880,79178,14474,2741853,548081,TRUE,FALSE,English,DisguisedToast
81,Tfue,1320692130,121410,52689,10877,11279117,509179,TRUE,FALSE,English,Tfue
82,Elajjaz,1317058050,163170,22212,8071,442567,62654,TRUE,FALSE,English,Elajjaz
83,dota2mc,1311116040,124890,96858,10498,710455,55888,TRUE,FALSE,Russian,dota2mc
84,Pestily,1284816210,124470,244422,10322,1209755,197392,TRUE,FALSE,English,Pestily
85,Ponce,1284214320,129945,91051,9882,801547,141000,TRUE,FALSE,French,Ponce
86,Cellbit,1280162610,73965,149983,17307,2536959,314338,TRUE,FALSE,Portuguese,Cellbit
87,Tumblurr,1267212240,98070,45523,12921,1020045,252835,TRUE,FALSE,Italian,Tumblurr
88,zackrawrr,1244506410,96810,78179,12855,1077646,426179,FALSE,FALSE,English,zackrawrr
89,Jasper7se,1242981195,127740,42321,9730,428935,233137,TRUE,FALSE,Japanese,Jasper7se
90,GRONKH,1226078880,67590,40087,18139,1504475,81666,TRUE,TRUE,German,GRONKH
91,ironmouse,1213024065,121860,45312,9954,1402802,558932,TRUE,TRUE,English,ironmouse
92,Gotaga,1198607760,94485,101272,12685,3803760,417960,TRUE,FALSE,French,Gotaga
93,just_ns,1192975515,112560,113128,10598,553785,106396,TRUE,TRUE,Russian,just_ns
94,knekro,1163735835,146280,71244,7955,934444,297885,TRUE,FALSE,Spanish,knekro
95,EsfandTV,1156351260,189960,53523,6087,1180368,194524,TRUE,FALSE,English,EsfandTV
96,Sardoche,1152727755,138015,146368,8352,1286258,109548,TRUE,FALSE,French,Sardoche
97,EWROON,1145455200,97770,29816,11715,858711,57956,TRUE,FALSE,Polish,EWROON
98,SilverName,1136415435,102465,37798,11090,802895,67481,TRUE,FALSE,Russian,SilverName
99,PGL,1135182300,15480,608041,73332,1535147,348466,TRUE,FALSE,English,PGL
100,ESL_DOTA2,1134391215,120465,263970,9416,647810,177851,TRUE,FALSE,English,ESL_DOTA2
101,Recrent,1122567120,192000,24054,5846,875951,240307,TRUE,FALSE,Russian,Recrent
102,aminematue,1116229035,24990,1155060,44667,1802851,1078364,TRUE,FALSE,French,aminematue
103,Zerkaa,1116068250,84495,37875,13208,1364187,269786,TRUE,FALSE,English,Zerkaa
104,forsen,1115139045,123225,22397,9049,1651345,67709,TRUE,TRUE,English,forsen
105,Clix,1109233170,79260,95503,13994,5536508,1238406,TRUE,FALSE,English,Clix
106,buster,1108116810,44460,162925,24923,3319994,1106093,TRUE,FALSE,Russian,buster
107,BeyondTheSummit,1105249575,514425,52300,2148,1174361,104502,TRUE,FALSE,English,BeyondTheSummit
108,Thebausffs,1089644910,77280,47169,14099,877683,415882,TRUE,FALSE,English,Thebausffs
109,yourragegaming,1056024630,64590,92973,16349,1240470,480541,TRUE,FALSE,English,yourragegaming
110,shuteye_orange,1039197045,284100,9944,3657,149250,35809,TRUE,TRUE,Chinese,蝦愛橘子 (shuteye_orange)
111,Maximilian_DOOD,1036005750,104985,62310,9868,1138462,144489,TRUE,FALSE,English,Maximilian_DOOD
112,Symfuhny,1032628170,148620,42110,6948,3811908,317385,TRUE,FALSE,English,Symfuhny
113,PGL_Dota2,1032086820,23190,155951,44505,375687,193917,TRUE,FALSE,English,PGL_Dota2
114,valorant_jpn,1025836515,40965,113833,25041,354575,185412,TRUE,FALSE,Japanese,valorant_jpn
115,abugoku9999,1022493270,157530,30038,6490,385880,232472,TRUE,FALSE,German,abugoku9999
116,Domingo,1011759825,55725,179576,18156,1557880,256013,TRUE,FALSE,French,Domingo
117,ShahZaM,999698115,138465,27202,7219,1638953,495052,TRUE,FALSE,English,ShahZaM
118,chowh1,998188050,161400,59343,6184,704406,194255,TRUE,TRUE,French,chowh1
119,Foolish_Gamers,989185215,138180,40333,7158,1800230,243915,TRUE,FALSE,English,Foolish_Gamers
120,sinatraa,976969890,119850,36942,8151,1753899,620978,TRUE,TRUE,English,sinatraa
121,Maximum,964792845,103560,73985,9316,429131,76693,TRUE,FALSE,English,Maximum
122,Nmplol,957573990,58425,55480,16389,1036290,100053,TRUE,FALSE,English,Nmplol
123,Doublelift,940694970,94530,38423,9951,1750356,136913,TRUE,FALSE,English,Doublelift
124,Kyle,933108870,149475,19520,6242,493329,77649,TRUE,TRUE,English,Kyle
125,Stray228,926838225,107595,33504,8614,1329191,235478,TRUE,FALSE,Russian,Stray228
126,SmiteGame,926775780,362505,67849,2556,682657,38822,TRUE,FALSE,English,SmiteGame
127,TenZ,924433800,39750,106459,23256,3196022,1119135,TRUE,FALSE,English,TenZ
128,saddummy,919716225,188745,12890,4872,655829,8884,TRUE,FALSE,Korean,서새봄냥 (saddummy)
129,LPL,919322070,63015,107903,14588,895574,154881,TRUE,FALSE,English,LPL
130,lol_woolf,917420025,81225,105866,11294,434588,70318,TRUE,FALSE,Korean,울프 (lol_woolf)
131,ZealsAmbitions,916047615,192105,26665,4768,274464,204294,TRUE,FALSE,English,ZealsAmbitions
132,Bonjwa,902652825,273615,33444,3298,217878,17539,TRUE,FALSE,German,Bonjwa
133,darumaisgod,901788690,52110,67120,17305,499569,407199,FALSE,FALSE,Japanese,だるまいずごっど (darumaisgod)
134,GronkhTV,900613155,523260,11752,1721,473983,78967,TRUE,TRUE,German,GronkhTV
135,Distortion2,887461590,169755,20210,5227,513056,126901,TRUE,TRUE,English,Distortion2
136,DreamLeague,884555505,39090,90086,22628,574965,87768,TRUE,FALSE,English,DreamLeague
137,Solary,876677775,459705,51966,1907,680806,68574,TRUE,FALSE,French,Solary
138,AntoineDaniel,872240835,68025,74618,12822,913229,164699,TRUE,TRUE,French,AntoineDaniel
139,Coreano,862485090,208590,62371,4134,528034,241748,TRUE,FALSE,Portuguese,Coreano
140,AnthonyZ,860951550,167370,26781,5144,590660,110830,TRUE,FALSE,English,AnthonyZ
141,ddahyoni,854598705,177450,23226,4815,361570,12734,TRUE,FALSE,Korean,따효니 (ddahyoni)
142,bratishkinOFF,853304775,63615,146916,13413,2316032,787911,TRUE,FALSE,Russian,bratishkinOFF
143,Sykkuno,850458150,41835,66126,20328,4045694,173401,TRUE,FALSE,English,Sykkuno
144,JesusAVGN,847258515,82380,106667,10284,1577161,567124,TRUE,FALSE,Russian,JesusAVGN
145,elded,847162980,129165,39941,6558,5308294,719658,TRUE,FALSE,Spanish,elded
146,Amar,845938980,138465,116033,6109,1486933,270582,TRUE,FALSE,German,Amar
147,Ninja,845372835,64275,59844,13152,18440438,1315560,FALSE,FALSE,English,Ninja
148,BruceDropEmOff,843889485,34590,89145,24396,1139348,736684,TRUE,TRUE,English,BruceDropEmOff
149,VooDooSh,843866340,145050,19022,5817,237551,70385,TRUE,FALSE,Russian,VooDooSh
150,Aydan,834645540,144885,31598,5760,2929351,258082,TRUE,TRUE,English,Aydan
151,AdmiralBahroo,833875080,132465,15825,6295,830869,-25987,TRUE,FALSE,English,AdmiralBahroo
152,MckyTV,833692350,114750,60038,7265,1288477,156414,TRUE,FALSE,German,MckyTV
153,SolaryHS,827353935,468465,11385,1766,191365,18393,TRUE,FALSE,French,SolaryHS
154,Etoiles,817896900,104265,207898,7844,834165,246316,TRUE,FALSE,French,Etoiles
155,Jinnytty,813741000,174615,16065,4660,842826,169454,TRUE,FALSE,English,Jinnytty
156,sweetdreams,813579855,104985,35357,7749,789155,294329,TRUE,FALSE,English,sweetdreams
157,Dhalucard,812929770,157200,28854,5171,501007,50310,TRUE,TRUE,German,Dhalucard
158,boxbox,805431075,145260,29101,5544,2052507,83902,TRUE,FALSE,English,boxbox
159,RTAinJapan,804141060,26385,101725,30477,277116,94692,TRUE,FALSE,Japanese,RTAinJapan
160,Towelliee,803380995,205320,35918,3912,948634,192253,TRUE,FALSE,English,Towelliee
161,SypherPK,791958255,119745,151092,6613,6268593,1059970,TRUE,FALSE,English,SypherPK
162,zilioner,787753275,85170,39730,9249,725611,124522,TRUE,FALSE,Korean,침착맨 (zilioner)
163,GMHikaru,784195605,84435,43511,9287,1524355,190368,TRUE,FALSE,English,GMHikaru
164,Squeezie,781616655,23745,1018817,32917,4003499,790765,TRUE,FALSE,French,Squeezie
165,ESL_CSGOb,781239315,66795,283277,11696,1057789,253032,TRUE,FALSE,English,ESL_CSGOb
166,tmxk319,779079960,130890,24282,5952,824708,91629,TRUE,FALSE,Korean,괴물쥐123 (tmxk319)
167,pokimane,775690545,42975,96124,18049,9269697,833522,TRUE,FALSE,English,pokimane
168,Saintone,767837520,250560,23875,3064,146290,117806,TRUE,FALSE,English,Saintone
